id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,grupo_analitico,descripcion,codigo_inicio,codigo_fin,numero_productos,produccion_base_millones_q_2013,efecto_precio_ponderado_produccion_pct,efecto_precio_minimo_producto_pct,efecto_precio_maximo_producto_pct
E15_r00_p068_450,E15,0.0,0.45,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,-0.009478766789910456,-0.03682927715314043,0.0
E15_r00_p068_450,E15,0.0,0.45,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,-0.030961133531059743,-0.03402524017072593,-0.019028976138922217
E15_r00_p068_450,E15,0.0,0.45,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,-0.008760427098024085,-0.012989660413651469,-0.005054512413974153
E15_r00_p068_450,E15,0.0,0.45,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,-0.0072203215232935535,-0.01257541222918918,-0.0067869585638709855
E15_r00_p068_450,E15,0.0,0.45,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,-0.05010336114536451,-0.06785798810597761,-0.004699072710880418
E15_r00_p068_450,E15,0.0,0.45,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,-0.006330467787137077,-0.010903926964940316,-0.00601773990440436
E15_r00_p068_450,E15,0.0,0.45,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,-0.003995085153016853,-0.01113219448185544,-0.0005409372619830805
E15_r00_p068_450,E15,0.0,0.45,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,-0.004911081335754293,-0.016088926446860916,0.0
E15_r00_p068_450,E15,0.0,0.45,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E15_r00_p068_502,E15,0.0,0.502,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,-0.008935522229099359,-0.07674453257085259,-0.001953243220257624
E15_r00_p068_502,E15,0.0,0.502,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,-0.017510634228812386,-0.02624804729518605,-0.010397206151639823
E15_r00_p068_502,E15,0.0,0.502,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,-0.010987303496417352,-0.021712845279306333,-0.0035980054923549767
E15_r00_p068_502,E15,0.0,0.502,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,-0.010120257738330092,-0.023529111475448578,0.0
E15_r00_p068_502,E15,0.0,0.502,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,-0.007959382174431042,-0.017565762903843846,-0.003112663993592165
E15_r00_p068_502,E15,0.0,0.502,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,-0.010574090952300105,-0.0410851047352811,0.0
E15_r00_p068_502,E15,0.0,0.502,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,-0.0345388645168711,-0.03795704570156538,-0.02122788004830879
E15_r00_p068_502,E15,0.0,0.502,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,-0.009772743118240201,-0.01449068783922897,-0.005638589404033389
E15_r00_p068_502,E15,0.0,0.502,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,-0.008054669788207475,-0.014028570975673263,-0.007571229331251632
E15_r00_p068_502,E15,0.0,0.502,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,-0.055893082877717735,-0.0756993556204461,-0.005242076668582157
E15_r00_p068_502,E15,0.0,0.502,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,-0.007061988509206252,-0.012163936303111196,-0.006713123182246641
E15_r00_p068_502,E15,0.0,0.502,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,-0.004456739437365468,-0.01241858139975874,-0.0006034455678122366
E15_r00_p068_502,E15,0.0,0.502,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,-0.0054785840678859,-0.017948091280720405,0.0
E15_r00_p068_502,E15,0.0,0.502,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E15_r15_p068_450,E15,0.15,0.45,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,0.008072374398472602,0.0017645650876285785,0.06933121356132982
E15_r15_p068_450,E15,0.15,0.45,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,0.01581915324314856,0.009392863517345728,0.023712555300409617
E15_r15_p068_450,E15,0.15,0.45,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,0.00992595901825289,0.0032504476713699163,0.019615441812664548
